MONTH,DAY,DOY,TMAX,TMIN,RH,pWet,WetAmount
1,1,1,24.0,13.8,76.0,0.0,0.0
1,2,2,24.6,14.8,83.0,0.0,0.0
1,3,3,23.6,15.5,79.0,0.2,0.4
1,4,4,24.0,15.0,74.0,0.0,0.0
1,5,5,22.6,15.2,84.0,0.2,12.2
1,6,6,24.0,14.6,87.0,0.2,15.4
1,7,7,24.5,14.4,80.0,0.0,0.0
1,8,8,24.5,13.2,75.0,0.0,0.0
1,9,9,23.6,13.8,79.0,0.0,0.0
1,10,10,23.4,13.7,82.0,0.0,0.0
1,11,11,22.4,12.9,81.0,0.2,0.4
1,12,12,22.0,13.0,81.0,0.0,0.0
1,13,13,22.6,12.8,86.0,0.0,0.0
1,14,14,24.4,13.8,79.0,0.0,0.0
1,15,15,23.8,14.0,81.0,0.0,0.0
1,16,16,22.2,15.0,81.0,0.2,0.2
1,17,17,23.5,14.0,76.0,0.0,0.0
1,18,18,23.2,14.2,81.0,0.0,0.0
1,19,19,23.8,14.0,78.0,0.0,0.0
1,20,20,23.0,15.0,82.0,0.2,0.2
1,21,21,22.4,15.4,88.0,0.2,5.6
1,22,22,23.2,14.8,84.0,0.4,3.5
1,23,23,23.0,15.2,87.0,0.2,13.2
1,24,24,24.2,15.0,89.0,0.0,0.0
1,25,25,21.6,15.1,90.0,0.0,0.0
1,26,26,23.0,14.6,86.0,0.2,8.0
1,27,27,23.6,14.0,86.0,0.4,7.6
1,28,28,21.9,12.4,86.0,0.4,17.8
1,29,29,22.5,12.2,87.0,0.2,14.0
1,30,30,20.8,12.6,87.0,0.2,44.7
1,31,31,23.3,13.0,79.0,0.0,0.0
2,1,32,23.6,13.9,84.0,0.0,0.0
2,2,33,23.8,14.4,80.0,0.0,0.0
2,3,34,23.7,14.0,77.0,0.0,0.0
2,4,35,23.8,13.0,81.0,0.0,0.0
2,5,36,24.5,15.0,77.0,0.0,0.0
2,6,37,24.4,14.8,76.0,0.2,0.6
