YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH
2024,1,1,0.0,24.0,16.4,86
2024,1,2,0.0,25.4,16.6,86
2024,1,3,0.0,24.8,15.8,84
2024,1,4,0.0,25.2,15.0,79
2024,1,5,0.0,24.2,15.6,89
2024,1,6,0.0,24.4,16.0,82
2024,1,7,0.0,26.4,15.0,77
2024,1,8,0.0,26.2,16.0,79
2024,1,9,0.0,23.6,16.6,82
2024,1,10,0.0,23.4,14.4,79
2024,1,11,0.0,24.2,12.9,76
2024,1,12,0.0,23.4,13.0,79
2024,1,13,0.0,22.8,12.8,85
2024,1,14,0.0,24.4,13.2,76
2024,1,15,0.0,22.2,13.0,80
2024,1,16,0.0,19.8,12.4,77
2024,1,17,0.0,22.4,13.0,70
2024,1,18,0.0,23.2,14.6,85
2024,1,19,0.0,23.8,14.8,90
2024,1,20,0.0,22.8,16.2,84
2024,1,21,0.0,22.4,15.4,85
2024,1,22,0.0,24.2,16.2,83
2024,1,23,-1.0,23.0,14.2,87
2024,1,24,-1.0,23.2,12.6,80
2024,1,25,0.0,21.6,12.2,81
2024,1,26,0.0,22.0,9.8,76
2024,1,27,0.0,21.4,11.6,74
2024,1,28,0.0,21.8,11.0,70
2024,1,29,0.0,22.4,11.8,68
2024,1,30,0.0,21.6,12.6,70
2024,1,31,0.0,24.2,13.6,68
2024,2,1,0.0,23.6,14.0,72
2024,2,2,0.0,23.8,14.4,81
2024,2,3,0.0,26.2,15.6,74
2024,2,4,0.0,26.4,15.2,81
2024,2,5,0.0,26.4,15.4,77
2024,2,6,0.0,25.0,14.2,74
2024,2,7,0.0,24.4,14.2,72
2024,2,8,0.0,23.6,14.8,76
2024,2,9,0.0,22.8,14.0,84
2024,2,10,0.0,20.8,13.4,85
2024,2,11,0.0,22.8,12.8,77
2024,2,12,0.0,22.0,12.0,76
2024,2,13,0.0,23.4,14.8,72
2024,2,14,0.0,24.4,15.2,81
2024,2,15,0.0,22.4,16.0,87
2024,2,16,0.0,23.2,15.0,84
2024,2,17,0.0,24.8,14.0,80
2024,2,18,0.0,25.8,14.6,87
2024,2,19,0.0,27.4,14.8,68
2024,2,20,0.0,26.0,16.0,72
2024,2,21,0.0,27.4,14.4,68
2024,2,22,0.0,26.2,15.4,67
2024,2,23,0.0,27.2,14.8,69
2024,2,24,0.0,26.2,16.8,70
2024,2,25,0.0,26.2,16.0,83
2024,2,26,0.0,24.8,14.0,82
2024,2,27,0.0,24.4,13.4,75
2024,2,28,0.0,24.2,13.6,73
2024,2,29,0.0,24.6,13.8,74
2024,3,1,0.0,23.4,15.0,81
2024,3,2,0.0,23.6,15.4,82
2024,3,3,0.0,24.6,15.0,81
2024,3,4,0.0,24.8,16.4,84
2024,3,5,0.0,26.2,16.0,84
2024,3,6,0.0,26.2,16.2,69
2024,3,7,0.0,26.0,16.2,67
2024,3,8,-1.0,24.6,15.0,85
2024,3,9,0.0,23.4,14.4,81
2024,3,10,0.0,23.6,14.2,81
2024,3,11,0.0,26.0,16.0,77
2024,3,12,0.0,25.2,16.4,74
2024,3,13,0.0,23.4,14.8,74
2024,3,14,0.0,23.0,15.4,77
2024,3,15,0.0,24.2,15.6,81
2024,3,16,0.0,25.4,16.0,76
2024,3,17,-1.0,25.0,15.2,78
2024,3,18,0.0,22.8,14.8,82
