MONTH,DAY,DOY,TMAX,TMIN,RH,pWet,WetAmount
1,1,1,31.3,21.0,67.0,0.2,5.0
1,2,2,32.1,20.0,66.0,0.0,0.0
1,3,3,30.6,24.0,67.0,0.0,0.0
1,4,4,31.0,21.1,64.0,0.0,0.0
1,5,5,31.1,22.0,73.0,0.0,0.0
1,6,6,30.8,20.5,71.0,0.0,0.0
1,7,7,30.6,21.4,74.0,0.0,0.0
1,8,8,31.3,21.0,72.0,0.0,0.0
1,9,9,30.1,20.4,73.0,0.2,0.1
1,10,10,30.1,21.1,72.0,0.2,10.8
1,11,11,30.4,20.7,73.0,0.2,7.8
1,12,12,29.6,18.5,73.0,0.0,0.0
1,13,13,28.9,19.2,72.0,0.0,0.0
1,14,14,29.6,19.4,73.0,0.0,0.0
1,15,15,30.4,19.6,73.0,0.0,0.0
1,16,16,30.0,20.4,75.0,0.0,0.0
1,17,17,30.0,21.4,74.0,0.0,0.0
1,18,18,29.5,21.0,70.0,0.0,0.0
1,19,19,30.2,20.5,73.0,0.0,0.0
1,20,20,30.8,21.8,74.0,0.0,0.0
1,21,21,30.0,21.9,77.0,0.2,10.4
1,22,22,30.0,22.1,78.0,0.2,9.7
1,23,23,29.5,23.1,81.0,0.2,5.7
1,24,24,30.4,21.3,74.0,0.0,0.0
1,25,25,31.4,21.6,69.0,0.2,1.0
1,26,26,30.8,21.0,69.0,0.2,7.2
1,27,27,30.1,21.7,73.0,0.2,1.0
1,28,28,30.0,21.0,66.0,0.2,2.6
1,29,29,30.6,22.1,66.0,0.2,64.6
1,30,30,28.6,17.8,68.0,0.2,2.7
1,31,31,29.5,20.1,68.0,0.0,0.0
2,1,32,29.8,20.6,70.0,0.0,0.0
2,2,33,29.2,21.3,74.0,0.0,0.0
2,3,34,29.5,20.0,71.0,0.0,0.0
2,4,35,30.1,19.4,75.0,0.0,0.0
2,5,36,30.2,20.5,71.0,0.0,0.0
2,6,37,30.5,21.7,72.0,0.0,0.0
2,7,38,30.4,23.1,75.0,0.0,0.0
2,8,39,31.4,22.5,78.0,0.0,0.0
2,9,40,30.8,22.6,76.0,0.0,0.0
2,10,41,31.2,20.6,73.0,0.0,0.0
2,11,42,30.6,21.3,80.0,0.2,2.9
2,12,43,29.5,19.8,78.0,0.0,0.0
2,13,44,29.5,20.3,80.0,0.0,0.0
2,14,45,30.2,21.0,76.0,0.0,0.0
2,15,46,29.8,21.6,71.0,0.0,0.0
2,16,47,30.4,20.5,73.0,0.0,0.0
2,17,48,29.6,22.6,71.0,0.0,0.0
2,18,49,29.2,21.5,60.0,0.0,0.0
2,19,50,31.0,22.0,77.0,0.0,0.0
2,20,51,30.0,20.4,62.0,0.0,0.0
2,21,52,29.5,21.3,66.0,0.0,0.0
2,22,53,29.8,22.2,72.0,0.0,0.0
2,23,54,30.4,23.2,79.0,0.0,0.0
2,24,55,31.6,22.0,70.0,0.0,0.0
2,25,56,31.2,21.4,71.0,0.0,0.0
2,26,57,31.8,21.5,70.0,0.0,0.0
2,27,58,32.0,20.2,61.0,0.0,0.0
