YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH
2022,1,1,0.0,31.3,18.3,59
2022,1,2,0.0,32.1,19.4,56
2022,1,3,0.0,29.8,19.5,63
2022,1,4,-1.0,29.2,20.4,69
2022,1,5,0.0,28.0,22.0,77
2022,1,6,0.0,28.4,20.5,80
2022,1,7,0.0,30.7,21.4,74
2022,1,8,0.0,30.2,21.5,74
2022,1,9,0.1,29.8,20.0,79
2022,1,10,10.8,29.7,20.3,77
2022,1,11,7.8,26.3,17.6,83
2022,1,12,0.0,29.6,18.5,73
2022,1,13,0.0,27.9,17.0,72
2022,1,14,0.0,29.0,17.5,74
2022,1,15,0.0,29.7,18.6,73
2022,1,16,0.0,29.0,19.7,75
2022,1,17,0.0,30.0,18.7,74
2022,1,18,0.0,29.4,20.8,70
2022,1,19,0.0,29.6,19.6,73
2022,1,20,0.0,30.5,20.7,78
2022,1,21,0.0,29.8,21.9,80
2022,1,22,0.0,30.0,22.1,80
2022,1,23,0.0,31.0,23.1,81
2022,1,24,0.0,30.4,21.3,80
2022,1,25,0.0,32.6,21.6,69
2022,1,26,0.0,33.4,24.6,63
2022,1,27,1.0,31.8,24.6,81
2022,1,28,2.6,30.2,24.1,83
2022,1,29,64.6,31.4,23.6,86
2022,1,30,2.7,26.7,19.9,80
2022,1,31,0.0,31.5,20.5,70
2022,2,1,0.0,29.4,20.8,78
2022,2,2,0.0,29.0,21.5,81
2022,2,3,0.0,29.0,20.9,84
2022,2,4,0.0,30.8,23.0,75
2022,2,5,0.0,32.2,21.9,63
2022,2,6,0.0,32.0,21.7,65
2022,2,7,0.0,30.4,22.0,72
2022,2,8,0.0,29.8,22.5,78
2022,2,9,0.0,30.8,22.6,77
2022,2,10,0.0,31.5,20.6,81
2022,2,11,0.0,29.8,21.6,81
2022,2,12,0.0,29.5,22.2,84
2022,2,13,0.0,30.0,24.0,82
2022,2,14,0.0,29.1,21.7,81
2022,2,15,0.0,30.4,21.6,71
2022,2,16,0.0,30.4,20.5,73
2022,2,17,0.0,29.0,22.7,75
2022,2,18,0.0,29.0,23.6,84
2022,2,19,0.0,32.1,24.4,79
2022,2,20,0.0,32.9,22.4,62
2022,2,21,0.0,31.4,23.4,62
2022,2,22,0.0,31.9,24.2,71
2022,2,23,0.0,30.4,24.3,81
2022,2,24,0.0,31.8,21.3,66
2022,2,25,0.0,33.4,21.2,60
2022,2,26,0.0,31.8,21.0,70
2022,2,27,0.0,30.8,21.6,68
2022,2,28,0.0,30.0,21.9,79
2022,3,1,0.0,29.8,22.8,79
2022,3,2,0.0,30.7,21.8,78
2022,3,3,0.0,30.8,21.9,75
2022,3,4,0.0,30.0,21.9,80
2022,3,5,0.0,29.8,21.5,81
2022,3,6,0.0,32.1,22.4,69
2022,3,7,0.0,30.7,21.8,71
2022,3,8,0.0,30.9,22.0,61
2022,3,9,0.0,32.4,22.8,61
2022,3,10,0.0,32.8,24.9,59
2022,3,11,0.0,32.5,23.8,68
2022,3,12,0.0,36.0,23.8,57
2022,3,13,0.0,31.0,23.3,75
2022,3,14,0.0,31.2,23.4,77
2022,3,15,0.0,31.9,24.3,77
2022,3,16,0.0,31.6,25.5,79
2022,3,17,0.0,32.3,24.2,78
2022,3,18,0.0,30.6,23.2,78
2022,3,19,0.0,31.8,24.5,71
2022,3,20,0.0,32.4,23.9,72
2022,3,21,0.0,32.2,23.3,72
2022,3,22,0.0,31.4,23.8,76
2022,3,23,0.0,31.4,23.3,78
2022,3,24,0.0,33.2,23.7,67
2022,3,25,0.0,32.2,24.7,74
2022,3,26,0.0,32.0,24.5,76
2022,3,27,0.0,34.0,25.7,74
2022,3,28,0.0,31.7,24.8,76
2022,3,29,0.0,35.2,25.5,69
2022,3,30,0.0,33.6,25.4,71
2022,3,31,0.0,32.2,25.1,74
2022,4,1,-1.0,34.4,25.6,66
2022,4,2,0.0,32.7,25.1,72
2022,4,3,0.0,33.5,25.0,70
2022,4,4,0.0,34.4,25.4,58
2022,4,5,0.0,35.8,23.9,60
2022,4,6,0.0,33.5,25.5,62
2022,4,7,-1.0,33.2,25.0,64
2022,4,8,0.3,31.0,25.9,75
2022,4,9,0.0,33.0,24.0,71
2022,4,10,-1.0,32.0,24.7,73
2022,4,11,0.0,31.4,24.7,72
2022,4,12,0.0,31.6,24.2,76
2022,4,13,-1.0,31.6,25.2,76
2022,4,14,0.0,32.0,24.1,73
2022,4,15,0.0,32.3,23.3,67
2022,4,16,0.0,34.0,24.5,61
2022,4,17,0.0,33.3,22.7,63
2022,4,18,0.0,33.2,23.5,62
2022,4,19,0.0,32.8,24.2,64
2022,4,20,0.0,32.4,25.0,65
2022,4,21,0.0,33.6,24.7,74
2022,4,22,0.0,32.5,24.8,76
2022,4,23,-1.0,32.8,23.3,74
2022,4,24,0.0,32.0,24.7,72
2022,4,25,0.0,32.8,25.2,72
2022,4,26,0.0,33.0,25.0,72
2022,4,27,-1.0,33.4,24.5,75
2022,4,28,0.0,32.8,25.2,75
2022,4,29,0.0,34.4,27.1,73
2022,4,30,0.0,34.1,26.4,75
2022,5,1,0.0,33.6,25.2,76
2022,5,2,-1.0,33.4,24.6,71
2022,5,3,0.0,33.9,25.4,68
2022,5,4,0.0,32.0,24.6,74
2022,5,5,0.0,32.0,25.0,74
2022,5,6,0.0,33.7,25.4,74
2022,5,7,0.0,33.5,25.8,75
2022,5,8,0.0,34.4,26.0,75
2022,5,9,0.0,33.6,24.8,74
2022,5,10,0.0,33.1,23.7,72
2022,5,11,0.0,33.4,24.9,71
2022,5,12,0.0,33.8,26.5,69
2022,5,13,0.0,33.1,25.4,71
2022,5,14,0.0,33.0,25.8,71
2022,5,15,-1.0,33.7,25.5,72
2022,5,16,0.0,33.2,25.4,69
2022,5,17,-1.0,31.8,24.9,78
2022,5,18,5.3,29.4,25.0,90
2022,5,19,28.7,30.4,23.7,86
2022,5,20,73.5,29.2,23.8,94
2022,5,21,26.0,26.9,25.0,91
2022,5,22,1.2,31.5,25.2,84
2022,5,23,15.8,32.4,24.6,80
2022,5,24,12.1,32.5,24.3,79
2022,5,25,5.5,31.8,25.0,85
2022,5,26,2.8,32.5,25.0,83
2022,5,27,-1.0,32.7,26.0,76
2022,5,28,1.6,32.4,25.4,82
2022,5,29,10.2,31.6,25.5,82
2022,5,30,-1.0,32.2,24.2,80
2022,5,31,0.2,32.2,25.6,81
2022,6,1,20.4,32.3,24.0,84
2022,6,2,13.0,31.8,26.0,81
2022,6,3,13.6,31.2,24.6,85
2022,6,4,0.0,32.2,24.4,79
2022,6,5,0.0,32.1,24.5,77
2022,6,6,0.0,32.2,24.8,77
2022,6,7,0.0,32.3,25.9,75
2022,6,8,1.8,32.3,24.9,78
2022,6,9,0.0,32.2,24.8,78
2022,6,10,0.1,32.6,24.5,80
2022,6,11,1.2,32.9,24.5,80
2022,6,12,-1.0,32.5,26.0,77
2022,6,13,-1.0,32.6,24.9,79
2022,6,14,0.0,32.8,25.2,75
2022,6,15,0.0,32.3,24.5,79
2022,6,16,0.0,32.6,25.5,80
2022,6,17,-1.0,32.5,24.5,79
2022,6,18,0.0,32.6,25.8,78
2022,6,19,0.0,33.1,24.5,76
2022,6,20,0.0,33.2,23.9,77
2022,6,21,52.2,33.7,22.8,82
2022,6,22,7.7,32.4,23.2,85
2022,6,23,0.6,32.0,24.3,82
2022,6,24,2.6,32.6,24.0,82
2022,6,25,0.4,31.9,24.1,84
2022,6,26,0.2,32.9,25.0,83
2022,6,27,13.7,31.5,24.5,87
2022,6,28,4.5,31.7,24.9,85
2022,6,29,9.0,31.8,25.1,87
2022,6,30,-1.0,31.8,25.6,83
2022,7,1,0.9,31.9,24.5,79
2022,7,2,10.6,33.3,25.4,77
2022,7,3,0.0,32.4,26.2,78
2022,7,4,0.0,32.6,25.5,76
2022,7,5,1.8,32.2,23.5,80
2022,7,6,0.7,32.1,24.8,84
2022,7,7,14.3,32.1,25.9,86
2022,7,8,0.0,31.0,26.3,86
2022,7,9,8.0,32.2,25.6,87
2022,7,10,0.0,32.4,26.1,82
2022,7,11,0.0,32.0,27.0,79
2022,7,12,54.6,32.2,21.2,86
2022,7,13,24.8,29.4,21.8,87
2022,7,14,1.5,31.7,24.8,88
2022,7,15,0.0,31.4,25.2,83
2022,7,16,3.5,32.8,25.1,83
2022,7,17,0.1,31.4,24.2,85
2022,7,18,1.8,31.4,24.8,86
2022,7,19,0.0,32.0,26.9,81
2022,7,20,22.4,31.8,26.3,85
2022,7,21,3.3,31.4,25.1,90
2022,7,22,0.0,32.6,25.7,81
2022,7,23,0.0,32.4,26.2,78
2022,7,24,0.0,32.6,25.2,79
2022,7,25,0.0,32.6,25.9,79
2022,7,26,2.6,32.6,24.6,84
2022,7,27,-1.0,32.4,24.7,78
2022,7,28,0.0,32.2,24.7,82
2022,7,29,-1.0,33.1,25.0,81
2022,7,30,1.1,32.7,25.0,81
2022,7,31,0.0,33.0,24.9,82
2022,8,1,25.8,31.3,24.1,83
2022,8,2,0.6,31.9,24.6,86
2022,8,3,2.6,31.8,24.6,86
2022,8,4,0.2,31.3,25.2,85
2022,8,5,-1.0,32.6,25.3,81
2022,8,6,-1.0,32.4,26.7,82
2022,8,7,-1.0,30.9,25.1,87
2022,8,8,50.0,30.2,24.1,91
2022,8,9,0.2,29.8,24.2,89
2022,8,10,6.3,31.2,24.0,86
2022,8,11,23.4,31.4,24.1,86
2022,8,12,0.2,31.8,24.5,84
2022,8,13,15.6,32.0,25.0,87
2022,8,14,0.0,32.3,25.6,86
2022,8,15,7.1,32.1,24.1,86
2022,8,16,3.7,31.1,24.8,86
2022,8,17,12.8,31.6,24.3,85
2022,8,18,53.6,30.3,24.1,88
2022,8,19,0.2,30.6,24.2,87
2022,8,20,43.0,31.6,23.6,87
2022,8,21,0.4,31.8,25.0,83
2022,8,22,162.5,27.4,24.0,95
2022,8,23,117.2,29.0,24.2,94
2022,8,24,-1.0,32.2,25.0,80
2022,8,25,0.2,31.4,24.1,83
2022,8,26,-1.0,32.0,24.4,82
2022,8,27,0.0,32.3,25.3,83
2022,8,28,14.5,32.2,24.4,85
2022,8,29,0.0,31.4,24.1,86
2022,8,30,0.0,31.3,24.1,85
2022,8,31,-1.0,32.0,24.8,83
2022,9,1,91.8,31.9,25.1,87
2022,9,2,26.2,28.7,24.8,93
2022,9,3,22.0,30.0,25.0,87
2022,9,4,19.6,28.5,24.0,92
2022,9,5,-1.0,31.8,24.3,82
2022,9,6,0.0,30.4,25.1,83
2022,9,7,0.0,31.9,25.6,86
2022,9,8,0.0,33.0,23.4,77
2022,9,9,0.0,32.4,24.3,73
2022,9,10,0.0,32.0,24.6,82
2022,9,11,0.8,31.3,26.3,82
2022,9,12,34.4,32.2,23.1,77
2022,9,13,4.4,29.6,23.8,90
2022,9,14,0.0,31.7,23.8,83
2022,9,15,4.2,30.9,24.3,82
2022,9,16,-1.0,30.8,23.2,86
2022,9,17,-1.0,31.0,23.3,82
2022,9,18,0.0,30.9,24.5,84
2022,9,19,-1.0,30.5,23.4,85
2022,9,20,0.0,31.5,23.0,82
2022,9,21,18.0,30.3,21.8,86
2022,9,22,0.0,30.5,23.6,84
2022,9,23,0.0,31.3,22.0,73
2022,9,24,3.2,31.9,24.6,76
2022,9,25,5.3,31.8,25.4,82
2022,9,26,0.2,31.3,24.6,82
2022,9,27,17.6,31.7,24.4,87
2022,9,28,0.0,31.0,25.4,87
2022,9,29,0.2,30.4,24.9,88
2022,9,30,0.2,31.6,24.8,86
2022,10,1,0.0,31.4,25.0,85
2022,10,2,0.4,31.8,23.9,71
2022,10,3,0.0,34.0,24.0,71
2022,10,4,0.0,32.1,25.2,83
2022,10,5,0.0,32.7,25.0,79
2022,10,6,0.0,33.6,23.5,73
2022,10,7,0.0,34.0,25.0,73
2022,10,8,-1.0,33.4,24.0,78
2022,10,9,0.0,33.3,23.8,69
2022,10,10,11.9,29.9,24.3,75
2022,10,11,2.4,28.1,25.1,84
2022,10,12,35.9,28.8,23.7,94
2022,10,13,3.5,27.2,23.1,92
2022,10,14,-1.0,31.6,24.0,79
2022,10,15,95.4,27.5,24.2,93
2022,10,16,101.6,26.6,23.8,94
2022,10,17,-1.0,30.2,24.1,86
