MONTH,DAY,DOY,TMAX,TMIN,RH,pWet,WetAmount
1,1,1,29.6,19.0,82.0,0.6,1.1
1,2,2,28.5,19.0,84.0,0.6,3.2
1,3,3,29.1,18.0,85.0,0.6,5.4
1,4,4,30.0,19.0,84.0,0.4,5.5
1,5,5,29.5,18.5,80.0,0.4,1.25
1,6,6,29.0,19.1,87.0,0.6,2.0
1,7,7,28.9,19.1,81.0,0.4,2.95
1,8,8,32.0,19.0,83.0,0.6,0.8
1,9,9,29.5,19.6,83.0,0.8,1.0
1,10,10,32.1,20.0,80.0,0.4,5.0
1,11,11,31.3,19.0,81.0,0.6,7.1
1,12,12,29.5,19.8,83.0,0.8,4.95
1,13,13,31.0,19.5,85.0,0.6,0.8
1,14,14,29.5,18.5,89.0,0.8,7.2
1,15,15,31.0,19.0,82.0,1.0,2.8
1,16,16,31.5,19.0,86.0,1.0,5.6
1,17,17,29.8,19.0,85.0,0.8,0.6
1,18,18,30.8,18.8,84.0,0.8,1.4
1,19,19,31.2,19.5,84.0,0.4,0.9
1,20,20,30.5,19.0,82.0,0.6,8.6
1,21,21,31.0,19.0,82.0,0.6,10.4
1,22,22,30.7,18.5,83.0,0.6,4.4
1,23,23,28.5,18.5,85.0,0.6,7.0
1,24,24,30.4,19.5,84.0,0.8,3.05
1,25,25,31.0,18.0,82.0,0.4,8.5
1,26,26,30.8,19.2,82.0,0.4,3.3
1,27,27,30.5,18.8,84.0,0.4,10.1
1,28,28,31.6,18.7,82.0,0.8,5.55
1,29,29,29.5,18.5,85.0,0.4,1.9
1,30,30,29.5,18.0,85.0,0.6,1.2
1,31,31,30.0,18.4,82.0,0.6,12.8
2,1,32,29.5,17.4,84.0,0.6,9.4
2,2,33,31.0,18.0,82.0,0.6,1.6
2,3,34,31.0,16.6,82.0,0.6,1.9
2,4,35,30.5,17.8,86.0,0.8,3.7
2,5,36,31.2,18.0,79.0,0.6,1.0
2,6,37,30.5,18.5,82.0,0.2,3.8
2,7,38,29.5,18.0,86.0,1.0,10.6
2,8,39,30.0,18.8,85.0,0.6,7.6
2,9,40,31.4,18.0,82.0,0.4,5.1
2,10,41,30.2,18.6,84.0,0.8,3.0
2,11,42,29.5,18.5,83.0,0.4,3.25
2,12,43,30.5,18.0,84.0,0.6,1.4
2,13,44,28.8,18.0,85.0,0.6,7.4
2,14,45,30.0,18.2,83.0,0.4,85.9
2,15,46,30.5,18.0,81.0,0.2,5.6
2,16,47,30.5,17.0,81.0,0.6,2.0
2,17,48,30.0,17.0,81.0,0.6,2.6
2,18,49,28.6,17.2,83.0,0.6,2.0
2,19,50,29.0,18.0,85.0,0.6,1.4
2,20,51,29.5,17.1,83.0,0.6,23.0
2,21,52,30.6,18.0,86.0,0.6,8.6
2,22,53,30.0,18.0,83.0,0.6,0.4
2,23,54,32.5,18.0,80.0,0.4,19.1
2,24,55,31.1,17.0,81.0,0.6,0.2
2,25,56,29.5,18.8,83.0,0.4,3.1
2,26,57,31.6,19.0,77.0,0.6,6.8
2,27,58,30.5,19.0,84.0,0.6,1.4
2,28,59,30.5,18.6,81.0,0.6,3.6
3,1,60,31.8,18.1,83.0,0.4,4.05
3,2,61,32.5,17.0,80.0,0.2,1.5
3,3,62,31.5,17.0,78.0,0.2,3.0
3,4,63,32.5,19.0,76.0,0.0,0.0
