YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH
2023,1,1,0.4,27.8,19.0,87
2023,1,2,41.0,26.8,19.0,85
2023,1,3,8.8,27.5,19.8,89
2023,1,4,5.0,29.0,19.6,89
2023,1,5,1.4,29.5,18.4,86
2023,1,6,5.3,32.0,19.5,85
2023,1,7,1.8,28.0,19.1,81
2023,1,8,2.0,26.0,19.0,91
2023,1,9,1.2,29.0,20.0,86
2023,1,10,0.2,27.6,20.0,89
2023,1,11,47.6,30.5,19.0,85
2023,1,12,8.7,28.6,19.8,87
2023,1,13,0.2,28.5,20.2,87
2023,1,14,8.6,27.0,19.5,91
2023,1,15,5.0,31.5,20.5,82
2023,1,16,22.2,31.5,19.6,85
2023,1,17,1.0,30.5,19.0,86
2023,1,18,0.2,31.0,18.5,84
2023,1,19,0.0,31.5,19.5,81
2023,1,20,8.6,32.0,19.0,81
2023,1,21,10.7,28.0,19.1,84
2023,1,22,4.4,24.0,18.5,95
2023,1,23,8.6,26.2,18.5,93
2023,1,24,1.9,29.0,19.0,89
2023,1,25,7.4,28.0,18.0,83
2023,1,26,1.2,29.6,19.8,88
2023,1,27,0.0,30.5,19.2,84
2023,1,28,6.0,32.5,19.4,81
2023,1,29,3.4,23.5,18.5,95
2023,1,30,1.2,26.5,19.0,91
2023,1,31,2.2,29.5,19.0,90
2023,2,1,9.4,29.5,19.5,84
2023,2,2,1.6,32.0,18.5,82
2023,2,3,0.0,31.2,16.0,82
2023,2,4,4.8,31.2,19.0,83
2023,2,5,1.0,30.0,18.0,82
2023,2,6,0.0,30.5,18.5,85
2023,2,7,0.8,29.5,17.0,81
2023,2,8,3.2,30.0,18.8,85
2023,2,9,0.0,29.5,18.0,85
2023,2,10,3.0,31.0,18.6,81
2023,2,11,0.1,31.0,18.5,83
2023,2,12,1.4,30.0,18.6,84
2023,2,13,1.8,27.5,19.8,90
2023,2,14,74.3,28.0,19.0,96
2023,2,15,0.0,30.5,18.1,84
2023,2,16,2.0,30.5,17.6,81
2023,2,17,43.4,26.0,19.5,89
2023,2,18,2.0,28.0,19.0,89
2023,2,19,1.2,29.0,20.0,90
2023,2,20,41.8,29.5,19.7,83
2023,2,21,8.3,32.2,19.8,89
2023,2,22,0.4,31.8,19.0,83
2023,2,23,0.0,32.5,18.0,80
2023,2,24,0.2,33.0,18.0,82
2023,2,25,1.6,32.3,18.8,83
2023,2,26,4.2,31.6,19.4,80
2023,2,27,1.2,30.5,18.0,84
2023,2,28,0.0,32.0,18.5,80
2023,3,1,5.8,30.0,18.5,84
2023,3,2,0.0,28.5,17.5,84
2023,3,3,0.0,31.5,18.5,78
2023,3,4,0.0,31.5,19.0,78
2023,3,5,0.0,31.8,19.5,78
2023,3,6,0.0,31.0,20.0,82
2023,3,7,1.0,30.0,18.5,88
2023,3,8,-1.0,31.5,18.5,82
2023,3,9,-1.0,32.0,19.6,83
2023,3,10,0.0,32.0,16.5,78
2023,3,11,0.6,32.0,19.0,80
2023,3,12,1.3,31.6,18.7,81
2023,3,13,16.2,31.0,19.4,85
2023,3,14,0.0,26.5,16.8,88
2023,3,15,24.0,33.0,19.5,80
2023,3,16,8.8,30.5,18.5,89
2023,3,17,5.2,33.0,19.8,82
2023,3,18,1.0,32.0,18.0,86
2023,3,19,2.0,32.6,18.5,82
2023,3,20,0.0,31.5,17.0,84
2023,3,21,0.0,32.2,16.6,81
2023,3,22,0.0,32.8,18.0,80
2023,3,23,0.0,33.0,19.5,81
2023,3,24,1.0,33.8,19.8,80
2023,3,25,-1.0,33.2,18.5,78
2023,3,26,0.0,33.8,17.5,78
2023,3,27,0.2,32.0,19.0,79
2023,3,28,6.2,32.0,19.0,87
2023,3,29,0.9,30.0,19.5,87
2023,3,30,0.2,31.5,20.0,84
2023,3,31,4.4,31.8,20.2,88
2023,4,1,-1.0,33.5,18.5,83
2023,4,2,0.6,31.4,18.0,83
2023,4,3,32.4,31.6,17.5,84
2023,4,4,0.0,32.2,18.8,73
2023,4,5,-1.0,28.0,18.5,87
2023,4,6,0.0,32.0,17.5,81
2023,4,7,0.0,31.5,19.5,76
2023,4,8,0.0,31.0,20.0,80
2023,4,9,41.4,30.0,18.5,89
2023,4,10,0.0,29.5,18.8,85
2023,4,11,0.0,32.0,18.4,76
