MONTH,DAY,DOY,TMAX,TMIN,RH,pWet,WetAmount
1,1,1,26.6,20.6,87.0,0.4,54.1
1,2,2,27.65,20.0,86.0,0.6,1.1
1,3,3,26.8,21.4,89.0,0.6,1.0
1,4,4,26.6,21.2,88.0,0.2,0.2
1,5,5,28.2,21.6,85.0,0.4,3.85
1,6,6,28.4,21.0,83.0,0.2,0.7
1,7,7,28.25,20.4,84.0,0.0,0.0
1,8,8,27.1,21.3,80.0,0.0,0.0
1,9,9,27.2,21.4,84.0,0.0,0.0
1,10,10,27.75,20.5,82.0,0.2,2.4
1,11,11,26.95,20.0,86.0,0.4,0.2
1,12,12,27.25,19.7,82.0,0.2,1.2
1,13,13,26.65,19.9,85.0,0.2,0.1
1,14,14,27.45,19.7,85.0,0.2,2.3
1,15,15,27.4,20.0,86.0,0.8,0.8
1,16,16,28.0,19.7,80.0,0.4,0.15
1,17,17,26.7,20.0,84.0,0.4,1.0
1,18,18,27.6,20.0,84.0,0.2,0.8
1,19,19,28.5,20.5,82.0,0.2,1.9
1,20,20,28.2,21.5,84.0,0.6,1.7
1,21,21,26.55,21.8,89.0,0.6,5.6
1,22,22,29.3,21.0,91.0,0.6,1.3
1,23,23,31.2,21.5,82.0,0.6,0.3
1,24,24,26.8,20.5,84.0,0.4,0.4
1,25,25,27.1,20.0,86.0,0.4,1.6
1,26,26,27.0,21.9,82.0,0.4,8.6
1,27,27,27.5,21.0,83.0,0.2,8.1
1,28,28,29.5,19.9,78.0,0.4,12.15
1,29,29,27.2,18.8,83.0,0.2,0.2
1,30,30,26.2,18.8,83.0,0.4,4.15
1,31,31,25.2,18.5,85.0,0.4,0.95
2,1,32,28.2,18.7,78.0,0.0,0.0
2,2,33,30.2,19.0,79.0,0.2,0.2
2,3,34,28.4,19.5,82.0,0.0,0.0
2,4,35,29.8,21.2,76.0,0.2,0.1
2,5,36,28.3,21.0,82.0,0.2,1.2
2,6,37,28.5,21.0,84.0,0.4,1.0
2,7,38,31.3,21.7,81.0,0.2,6.4
2,8,39,30.8,21.5,80.0,0.4,6.6
2,9,40,30.0,20.3,82.0,0.2,2.2
2,10,41,27.8,19.8,83.0,0.2,1.3
2,11,42,30.0,20.4,78.0,0.0,0.0
2,12,43,30.0,20.2,74.0,0.2,0.4
2,13,44,30.0,19.2,77.0,0.0,0.0
2,14,45,30.9,20.8,78.0,0.0,0.0
2,15,46,29.4,20.6,75.0,0.0,0.0
2,16,47,30.5,20.7,77.0,0.0,0.0
2,17,48,29.7,20.9,78.0,0.0,0.0
2,18,49,28.1,21.3,79.0,0.2,1.0
2,19,50,26.0,22.0,78.0,0.2,41.2
2,20,51,27.0,20.3,77.0,0.2,0.5
2,21,52,27.3,20.0,88.0,0.6,1.0
2,22,53,29.2,21.0,82.0,0.6,13.6
2,23,54,28.1,21.9,88.0,0.6,5.5
2,24,55,29.4,22.2,87.0,0.6,1.1
2,25,56,30.0,21.8,83.0,0.4,2.25
2,26,57,29.6,20.8,80.0,0.4,0.7
2,27,58,29.5,20.2,79.0,0.2,1.9
2,28,59,32.3,19.6,73.0,0.0,0.0
3,1,60,32.4,21.8,77.0,0.0,0.0
3,2,61,31.9,21.7,76.0,0.4,2.6
3,3,62,30.1,21.2,80.0,0.2,1.4
3,4,63,32.2,21.9,73.0,0.0,0.0
3,5,64,33.0,21.5,75.0,0.0,0.0
3,6,65,32.0,21.2,73.0,0.0,0.0
3,7,66,32.9,21.7,72.0,0.0,0.0
3,8,67,30.0,21.4,75.0,0.2,0.5
3,9,68,30.1,20.5,77.0,0.2,27.8
3,10,69,30.2,21.4,75.0,0.0,0.0
3,11,70,31.2,22.0,76.0,0.2,1.8
3,12,71,32.4,22.0,76.0,0.6,0.4
3,13,72,32.0,21.6,76.0,0.2,0.1
3,14,73,33.0,22.1,73.0,0.0,0.0
3,15,74,32.9,22.9,78.0,0.2,8.1
3,16,75,31.65,23.5,72.0,0.4,1.95
3,17,76,32.6,23.0,71.0,0.4,3.85
3,18,77,33.6,22.4,74.0,0.2,1.8
3,19,78,33.1,23.2,75.0,0.0,0.0
3,20,79,33.8,22.0,78.0,0.4,4.45
3,21,80,33.4,22.8,74.0,0.2,1.8
3,22,81,35.7,22.8,72.0,0.2,3.9
3,23,82,35.4,22.8,72.0,0.2,5.4
3,24,83,35.5,23.0,69.0,0.2,0.2
3,25,84,35.8,23.2,71.0,0.0,0.0
3,26,85,36.3,23.5,69.0,0.0,0.0
3,27,86,34.8,23.6,74.0,0.2,3.2
3,28,87,34.2,24.2,73.0,0.0,0.0
3,29,88,34.5,24.2,73.0,0.2,7.9
3,30,89,35.6,24.5,69.0,0.0,0.0
3,31,90,35.3,24.5,67.0,0.2,1.4
4,1,91,36.1,23.5,71.0,0.2,43.2
4,2,92,35.7,22.5,70.0,0.2,11.8
4,3,93,35.4,23.2,71.0,0.2,9.2
4,4,94,34.4,23.5,70.0,0.2,1.4
4,5,95,33.4,22.8,67.0,0.2,0.3
4,6,96,35.0,22.0,69.0,0.2,2.4
4,7,97,35.2,22.9,71.0,0.4,10.6
4,8,98,33.0,23.0,72.0,0.2,43.8
4,9,99,32.3,23.2,73.0,0.2,1.8
4,10,100,32.5,23.0,72.0,0.2,0.2
4,11,101,33.3,23.4,72.0,0.2,2.9
4,12,102,34.8,23.5,70.0,0.2,2.7
4,13,103,34.0,23.5,76.0,0.2,3.0
4,14,104,35.6,24.8,74.0,0.0,0.0
4,15,105,35.8,25.0,68.0,0.0,0.0
4,16,106,35.2,23.8,71.0,0.0,0.0
4,17,107,35.4,23.7,72.0,0.0,0.0
4,18,108,36.7,24.2,73.0,0.0,0.0
4,19,109,37.0,25.2,68.0,0.2,0.2
4,20,110,36.3,25.2,68.0,0.4,2.45
4,21,111,36.4,24.0,74.0,0.4,15.1
4,22,112,34.9,25.0,76.0,0.4,1.3
4,23,113,36.25,24.7,71.0,0.0,0.0
4,24,114,35.3,24.6,69.0,0.25,9.6
4,25,115,35.65,24.85,69.5,0.25,0.2
4,26,116,36.65,25.25,68.5,0.25,0.2
