YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH
2024,1,1,0.8,28.4,23.0,90
2024,1,2,1.1,28.5,23.6,91
2024,1,3,4.4,28.2,21.8,90
2024,1,4,0.0,26.2,21.2,88
2024,1,5,0.0,28.6,22.0,85
2024,1,6,0.0,28.8,19.5,82
2024,1,7,0.0,28.6,20.2,78
2024,1,8,-1.0,25.9,22.4,87
2024,1,9,0.0,30.5,23.3,84
2024,1,10,0.0,28.5,22.0,82
2024,1,11,0.2,24.4,20.0,86
2024,1,12,0.0,27.3,19.7,82
2024,1,13,0.0,25.8,20.3,81
2024,1,14,-1.0,26.9,18.4,85
2024,1,15,0.6,26.7,18.8,87
2024,1,16,0.1,27.4,19.6,79
2024,1,17,-1.0,24.6,19.6,87
2024,1,18,-1.0,29.3,20.4,80
2024,1,19,0.0,31.1,20.6,78
2024,1,20,0.0,31.7,20.8,76
2024,1,21,0.0,32.3,22.0,78
2024,1,22,3.0,24.9,21.6,96
2024,1,23,0.3,25.6,19.8,94
2024,1,24,0.0,24.8,19.6,81
2024,1,25,0.0,27.1,18.6,79
2024,1,26,0.0,27.0,17.6,77
2024,1,27,-1.0,27.5,18.8,81
2024,1,28,0.1,27.2,19.9,77
2024,1,29,-1.0,27.2,20.0,83
2024,1,30,0.0,31.5,20.2,75
2024,1,31,0.0,29.1,19.4,82
2024,2,1,0.0,32.5,19.4,74
2024,2,2,0.0,30.2,23.0,79
2024,2,3,-1.0,31.0,22.2,82
2024,2,4,0.0,34.0,21.9,73
2024,2,5,0.0,34.5,22.4,77
2024,2,6,0.0,34.0,20.6,73
2024,2,7,0.0,33.2,20.6,71
2024,2,8,0.0,33.1,21.8,79
2024,2,9,0.0,31.2,20.3,78
2024,2,10,0.0,30.9,19.5,75
2024,2,11,-1.0,26.9,20.4,78
2024,2,12,0.4,25.2,20.2,72
2024,2,13,0.0,28.4,20.6,77
2024,2,14,0.0,30.2,21.2,78
2024,2,15,0.0,34.2,22.0,72
2024,2,16,0.0,31.9,22.0,77
2024,2,17,0.0,33.2,22.5,71
2024,2,18,0.0,34.3,21.9,72
2024,2,19,0.0,34.4,22.0,69
2024,2,20,0.0,34.0,20.4,65
2024,2,21,0.0,33.8,20.4,66
2024,2,22,0.0,35.0,21.8,67
2024,2,23,0.0,32.6,21.9,76
2024,2,24,-1.0,32.7,22.2,75
2024,2,25,4.3,30.0,22.9,82
2024,2,26,1.0,29.6,20.8,80
2024,2,27,0.0,28.2,20.8,79
2024,2,28,-1.0,32.2,19.6,71
2024,2,29,0.0,34.1,20.0,64
2024,3,1,0.0,33.4,22.5,73
2024,3,2,2.0,28.4,21.7,89
2024,3,3,1.4,26.0,21.6,95
2024,3,4,-1.0,33.6,22.4,73
2024,3,5,0.0,36.4,24.8,75
2024,3,6,0.0,33.6,23.0,76
2024,3,7,0.0,34.0,23.2,76
2024,3,8,0.5,27.8,22.3,83
2024,3,9,-1.0,28.6,22.0,79
2024,3,10,0.0,30.2,21.0,72
2024,3,11,0.0,34.2,22.0,66
2024,3,12,0.4,32.6,22.0,75
2024,3,13,0.0,27.8,21.6,77
2024,3,14,0.0,33.6,22.8,71
2024,3,15,0.0,35.6,23.0,63
2024,3,16,0.0,34.4,24.0,63
2024,3,17,0.0,34.2,23.2,71
2024,3,18,0.0,33.4,22.2,66
2024,3,19,0.0,34.2,23.2,70
2024,3,20,-1.0,28.8,21.6,78
2024,3,21,0.0,29.8,22.0,74
2024,3,22,0.0,34.6,22.8,66
2024,3,23,0.0,33.4,23.1,69
2024,3,24,0.0,36.2,23.0,67
2024,3,25,0.0,37.2,23.2,65
2024,3,26,0.0,37.8,24.8,61
2024,3,27,3.2,32.2,23.6,81
2024,3,28,0.0,34.2,24.8,75
2024,3,29,7.9,37.0,24.2,73
2024,3,30,0.0,36.6,24.5,62
2024,3,31,0.0,38.4,25.4,65
2024,4,1,0.0,36.4,23.8,67
2024,4,2,0.0,37.2,22.2,61
2024,4,3,0.0,37.2,24.2,65
2024,4,4,0.0,38.4,26.2,59
2024,4,5,0.0,38.6,23.4,54
2024,4,6,0.0,37.6,23.9,60
2024,4,7,0.0,38.4,25.8,61
2024,4,8,0.0,37.8,25.8,64
2024,4,9,0.0,36.9,25.0,62
2024,4,10,0.0,35.6,25.2,68
2024,4,11,0.0,36.4,24.6,67
2024,4,12,0.0,37.8,24.8,66
2024,4,13,0.0,38.0,25.4,60
2024,4,14,0.0,39.0,25.9,58
2024,4,15,0.0,39.6,25.8,61
2024,4,16,0.0,39.0,25.2,64
2024,4,17,0.0,38.8,24.6,59
2024,4,18,0.0,38.2,26.0,58
2024,4,19,0.0,39.0,25.2,61
2024,4,20,0.0,39.6,25.5,57
2024,4,21,0.0,39.4,24.0,50
2024,4,22,0.0,39.7,26.4,56
2024,4,23,0.0,38.8,27.2,61
2024,4,24,9.6,38.4,26.0,65
2024,4,25,0.2,37.8,24.9,68
2024,4,26,-1.0,38.8,27.2,59
2024,4,27,0.0,39.6,27.2,63
2024,4,28,16.2,39.2,25.7,65
2024,4,29,0.0,37.7,26.6,70
2024,4,30,0.0,39.6,27.0,66
2024,5,1,0.0,37.8,26.6,65
2024,5,2,0.0,39.0,26.3,59
2024,5,3,0.0,38.0,26.2,57
2024,5,4,0.0,39.6,26.7,54
2024,5,5,0.0,38.6,26.2,60
2024,5,6,0.0,39.0,25.4,61
2024,5,7,0.0,38.0,25.5,61
2024,5,8,0.0,38.6,26.8,58
2024,5,9,0.0,35.2,26.0,67
2024,5,10,17.6,36.6,26.0,71
2024,5,11,8.2,34.5,24.8,81
2024,5,12,0.0,38.4,25.6,71
2024,5,13,53.6,38.0,25.5,73
2024,5,14,-1.0,34.7,26.0,79
2024,5,15,1.6,36.2,24.6,77
2024,5,16,4.4,34.0,25.2,81
2024,5,17,2.6,33.0,23.3,82
2024,5,18,0.0,32.2,26.0,80
2024,5,19,18.2,33.8,24.0,80
2024,5,20,0.3,34.6,25.2,79
2024,5,21,0.0,35.0,26.4,75
2024,5,22,0.0,36.0,26.2,69
2024,5,23,0.0,37.2,26.0,63
2024,5,24,6.6,36.2,26.0,74
2024,5,25,1.0,34.6,25.5,73
2024,5,26,0.0,32.7,26.0,79
2024,5,27,0.2,36.2,26.4,76
2024,5,28,0.0,36.1,26.7,71
2024,5,29,6.6,37.4,26.0,74
2024,5,30,0.0,36.8,26.4,73
2024,5,31,1.0,37.6,26.8,71
2024,6,1,0.0,36.7,27.3,71
2024,6,2,0.3,37.6,26.7,70
2024,6,3,0.0,37.6,28.2,69
2024,6,4,1.0,34.2,25.8,82
2024,6,5,3.0,34.4,25.4,82
2024,6,6,-1.0,34.4,25.9,81
2024,6,7,8.8,34.0,24.6,80
2024,6,8,0.0,35.0,25.5,81
2024,6,9,14.9,37.2,24.5,76
2024,6,10,0.0,34.9,26.0,80
2024,6,11,0.0,35.8,26.8,78
2024,6,12,19.6,36.8,26.0,80
2024,6,13,1.0,37.0,27.0,80
2024,6,14,22.0,36.2,25.2,78
2024,6,15,0.0,36.4,26.6,78
2024,6,16,0.3,36.6,27.6,77
2024,6,17,-1.0,34.7,27.0,84
2024,6,18,0.0,34.8,24.8,79
2024,6,19,0.2,35.0,26.4,76
2024,6,20,0.0,37.4,26.4,73
2024,6,21,0.0,38.4,27.0,65
2024,6,22,0.0,37.9,26.8,79
2024,6,23,0.0,36.8,25.2,69
2024,6,24,2.2,36.7,26.4,73
2024,6,25,0.2,34.4,27.0,71
2024,6,26,10.2,30.8,24.2,91
2024,6,27,0.0,34.2,25.4,77
2024,6,28,14.4,37.4,24.8,76
2024,6,29,3.0,36.0,24.8,79
2024,6,30,5.0,36.1,25.5,78
2024,7,1,0.2,36.0,25.6,75
2024,7,2,0.1,34.6,25.4,86
2024,7,3,0.0,34.4,26.2,78
2024,7,4,2.9,35.4,25.3,81
2024,7,5,0.0,32.0,24.3,87
2024,7,6,1.0,36.5,25.0,76
2024,7,7,-1.0,31.9,24.6,78
2024,7,8,13.6,36.2,25.0,76
2024,7,9,0.4,35.6,25.8,82
2024,7,10,0.0,36.7,26.8,77
2024,7,11,0.0,36.2,26.0,78
2024,7,12,0.1,37.2,26.0,77
2024,7,13,0.8,35.7,25.4,84
2024,7,14,0.0,35.4,26.3,85
2024,7,15,5.0,35.8,26.0,75
2024,7,16,1.5,33.2,25.8,82
2024,7,17,0.4,31.6,25.4,88
2024,7,18,0.9,36.2,26.4,74
2024,7,19,-1.0,34.2,25.9,75
2024,7,20,0.0,35.6,26.7,70
2024,7,21,69.2,31.5,24.7,88
2024,7,22,68.8,25.7,23.0,98
2024,7,23,11.7,25.8,23.2,98
2024,7,24,20.0,31.8,24.8,85
2024,7,25,2.2,32.0,25.0,90
2024,7,26,0.0,33.0,26.2,75
2024,7,27,0.8,33.4,26.2,79
2024,7,28,1.8,33.2,25.8,85
2024,7,29,56.6,33.4,25.0,86
2024,7,30,21.8,33.5,24.4,85
2024,7,31,0.0,34.4,25.2,83
2024,8,1,0.1,34.2,26.3,81
2024,8,2,-1.0,34.8,25.2,78
2024,8,3,0.0,36.3,26.4,74
2024,8,4,0.0,34.9,25.3,76
